order_id,order_hour,order_dayofweek,is_weekend,is_peak_hour,sla_slack_min,delay_risk
2460545397,11,6,1,0,12.0,2
9690050839,2,5,1,0,10.0,1
2574349065,14,2,0,0,10.0,1
2461936988,23,3,0,0,18.0,2
6447596416,18,6,1,1,12.0,0
7228452275,1,5,1,0,19.0,0
6696750742,17,6,1,0,11.0,0
822235931,7,2,0,0,10.0,2
7678251499,13,6,1,1,10.0,1
2497341976,9,3,0,0,13.0,1
9107314128,16,0,0,0,18.0,0
9855726256,7,2,0,0,15.0,0
9398719862,9,4,0,0,18.0,1
379494532,13,6,1,1,13.0,1
1048784963,13,3,0,1,17.0,0
4386246924,10,1,0,0,20.0,2
2050362692,11,2,0,0,13.0,1
4142963293,3,6,1,0,19.0,1
9753528654,7,4,0,0,11.0,0
8126970833,20,5,1,1,14.0,2
9747814712,15,5,1,0,14.0,1
6281619403,18,6,1,1,19.0,0
436184281,12,0,0,1,19.0,2
9799231260,8,3,0,0,18.0,1
4071811527,15,2,0,0,13.0,1
5645359563,23,3,0,0,17.0,0
9411813703,22,0,0,0,15.0,1
4270217473,8,3,0,0,14.0,0
279851011,9,1,0,0,13.0,0
6260524887,6,5,1,0,17.0,0
5853998391,2,4,0,0,10.0,0
9931976872,5,0,0,0,15.0,0
8432209832,3,2,0,0,18.0,2
6023721507,0,6,1,0,17.0,0
3042338919,14,2,0,0,13.0,0
233646065,22,1,0,0,15.0,1
9870610018,5,3,0,0,13.0,0
1398230967,9,0,0,0,15.0,0
8615488922,0,5,1,0,15.0,2
2748841057,5,5,1,0,16.0,2
1375867721,16,0,0,0,11.0,0
8595141097,10,6,1,0,12.0,1
4673382071,13,1,0,1,15.0,1
2948696008,10,2,0,0,17.0,0
6839692624,1,6,1,0,17.0,2
5770951298,18,0,0,1,14.0,0
5084771819,21,3,0,1,11.0,2
422403644,23,5,1,0,20.0,1
7176758896,12,3,0,1,10.0,1
8252905093,23,6,1,0,16.0,1
1488561572,8,1,0,0,14.0,0
6212984517,21,5,1,1,18.0,0
6309784337,17,0,0,0,16.0,0
4613890018,12,1,0,1,17.0,0
3429728472,8,4,0,0,17.0,1
267738904,23,1,0,0,14.0,2
3850416839,2,0,0,0,18.0,2
3412702479,7,6,1,0,14.0,1
2016183232,4,2,0,0,20.0,2
3810280204,17,3,0,0,14.0,1
2416767295,3,4,0,0,14.0,1
2283439407,2,4,0,0,10.0,1
4328802292,19,2,0,1,14.0,2
7072715691,19,0,0,1,14.0,1
5640741373,6,4,0,0,11.0,0
6931094066,21,2,0,1,19.0,0
3417088709,17,3,0,0,13.0,2
4424404315,7,6,1,0,12.0,1
2444087306,8,4,0,0,10.0,1
486085268,19,0,0,1,12.0,1
1731312620,20,0,0,1,10.0,0
6475582506,4,5,1,0,11.0,1
1868581378,18,4,0,1,16.0,1
8884235937,11,4,0,0,10.0,1
4590662628,11,2,0,0,14.0,2
992302540,21,6,1,1,19.0,1
7169974633,16,2,0,0,19.0,0
6703651257,1,2,0,0,17.0,1
7180810221,16,6,1,0,14.0,1
7875587578,8,0,0,0,12.0,1
2578671497,0,3,0,0,12.0,1
6284350691,1,3,0,0,13.0,0
5383261788,21,2,0,1,16.0,0
6590867973,8,0,0,0,18.0,0
8787105023,22,1,0,0,15.0,1
1402916311,12,1,0,1,13.0,1
9715205272,21,0,0,1,14.0,1
3946852375,12,3,0,1,19.0,0
3367039425,3,6,1,0,12.0,1
687711388,10,4,0,0,15.0,2
647012431,13,6,1,1,16.0,2
7143278295,15,1,0,0,11.0,0
9736844695,20,1,0,1,18.0,0
5933289680,4,3,0,0,19.0,2
9494303116,10,6,1,0,20.0,1
9337878102,3,1,0,0,18.0,0
6872621077,18,3,0,1,10.0,0
7330237253,12,3,0,1,16.0,0
7942616242,8,5,1,0,20.0,2
238520071,5,1,0,0,19.0,1
5812379362,10,5,1,0,14.0,0
2616623847,19,4,0,1,14.0,2
2040854480,0,6,1,0,13.0,2
5456484560,1,3,0,0,14.0,2
883309006,8,1,0,0,10.0,1
6528341992,3,0,0,0,15.0,2
3263203775,15,5,1,0,10.0,0
3660010934,15,2,0,0,13.0,1
7944885043,8,6,1,0,13.0,0
2506369831,13,4,0,1,17.0,2
697061213,9,5,1,0,11.0,1
7079057004,8,5,1,0,18.0,2
1556153632,8,5,1,0,19.0,1
2161235338,15,4,0,0,12.0,1
1247978468,1,4,0,0,20.0,0
5437627061,2,3,0,0,11.0,1
9091960039,9,6,1,0,10.0,0
619198317,16,0,0,0,19.0,0
9833179291,18,3,0,1,20.0,0
4148760273,1,2,0,0,15.0,1
7206041763,19,1,0,1,18.0,1
690097648,20,2,0,1,19.0,1
4197061567,3,6,1,0,11.0,1
2009394836,22,1,0,0,14.0,0
277502363,13,3,0,1,10.0,1
4356959622,7,1,0,0,15.0,0
174306009,0,4,0,0,11.0,2
9582674091,11,4,0,0,19.0,2
8675579025,11,5,1,0,16.0,1
5195999941,18,4,0,1,16.0,2
5210007923,5,1,0,0,12.0,1
6595771960,3,2,0,0,14.0,1
4247338382,2,1,0,0,10.0,2
819143326,19,2,0,1,16.0,1
3830844750,15,6,1,0,11.0,0
1687314172,18,2,0,1,18.0,1
6756007265,18,3,0,1,18.0,1
489762747,16,4,0,0,16.0,2
7509195875,19,6,1,1,16.0,1
2370917070,5,1,0,0,17.0,1
2055388266,6,4,0,0,10.0,1
8969304162,14,3,0,0,19.0,0
5412674107,21,6,1,1,19.0,1
1536516619,7,5,1,0,20.0,1
3858907413,18,3,0,1,14.0,0
4976389251,10,1,0,0,11.0,0
2218319201,2,4,0,0,13.0,0
6729422433,13,2,0,1,10.0,1
1354097448,17,2,0,0,20.0,1
8952275304,8,5,1,0,10.0,0
436603801,9,3,0,0,20.0,0
5273875984,3,2,0,0,13.0,2
9290203003,12,0,0,1,12.0,1
6240982373,3,2,0,0,15.0,0
2718348206,10,2,0,0,15.0,0
4903544026,4,5,1,0,16.0,1
2827266949,7,1,0,0,19.0,1
4278423074,4,6,1,0,14.0,1
645916247,2,1,0,0,11.0,2
5816647866,5,3,0,0,10.0,2
7282397914,1,6,1,0,20.0,1
3260611473,13,1,0,1,20.0,2
8638163868,3,2,0,0,16.0,1
177850987,14,1,0,0,17.0,0
9653859166,19,3,0,1,13.0,2
9991338690,11,0,0,0,11.0,1
1714593246,9,6,1,0,10.0,1
9742461226,0,0,0,0,19.0,0
3314393477,13,5,1,1,13.0,1
4188317986,1,0,0,0,12.0,1
1646665366,18,4,0,1,16.0,2
9558804585,11,4,0,0,11.0,1
9047652469,3,0,0,0,15.0,0
2893800377,11,4,0,0,19.0,0
6139157985,13,5,1,1,18.0,2
6029394789,6,6,1,0,20.0,1
5874940276,6,3,0,0,17.0,0
5205211911,18,4,0,1,20.0,2
5314758068,0,5,1,0,19.0,1
484869710,11,5,1,0,19.0,1
9957728938,21,0,0,1,14.0,2
3136056666,3,0,0,0,16.0,2
4926104391,7,1,0,0,20.0,2
1827844756,11,4,0,0,11.0,1
7032037874,19,3,0,1,11.0,0
3779230503,5,1,0,0,11.0,0
3473012553,21,4,0,1,16.0,2
7988504487,11,1,0,0,10.0,0
7193792738,15,2,0,0,15.0,1
1533583386,20,0,0,1,11.0,0
7750989397,1,6,1,0,19.0,1
4434816229,6,3,0,0,18.0,0
6896732047,17,3,0,0,10.0,0
4740837071,15,2,0,0,16.0,1
6649631729,9,0,0,0,15.0,0
5351526726,18,1,0,1,17.0,0
1506082041,7,3,0,0,12.0,0
1023260165,19,4,0,1,17.0,0
8257032403,21,2,0,1,17.0,1
7216524192,16,6,1,0,10.0,0
8619795820,9,2,0,0,13.0,2
6494708839,16,6,1,0,12.0,1
9859249765,13,0,0,1,13.0,0
3528020011,11,6,1,0,10.0,1
5937934264,19,2,0,1,11.0,2
2976477423,7,3,0,0,15.0,0
1002438039,3,5,1,0,16.0,0
2571163022,22,1,0,0,17.0,2
6850221497,22,6,1,0,15.0,0
4706569127,18,3,0,1,14.0,1
8168261752,6,0,0,0,19.0,2
5828325906,11,0,0,0,19.0,0
5012271549,10,5,1,0,15.0,2
8110316958,19,1,0,1,20.0,0
3190808443,8,2,0,0,10.0,0
7175472728,11,1,0,0,10.0,0
6011117738,10,6,1,0,10.0,1
5592928753,20,4,0,1,14.0,2
3952040848,0,3,0,0,11.0,0
7026479520,22,2,0,0,12.0,1
6572695161,8,0,0,0,13.0,0
9090769419,3,0,0,0,15.0,0
5979489110,7,3,0,0,14.0,1
964698323,23,0,0,0,18.0,1
2304242664,8,3,0,0,18.0,0
2483843748,9,2,0,0,16.0,1
2560588609,1,4,0,0,17.0,1
9268920928,12,2,0,1,11.0,1
9554019312,1,4,0,0,16.0,0
3749174258,7,1,0,0,13.0,2
3947164241,20,0,0,1,14.0,1
487327038,0,3,0,0,15.0,1
8830321199,6,5,1,0,17.0,2
3811318591,12,4,0,1,14.0,0
6795601573,2,2,0,0,10.0,0
2348495717,0,1,0,0,17.0,0
9505736584,5,1,0,0,13.0,2
1857227304,7,1,0,0,14.0,1
5506485302,6,4,0,0,12.0,0
6074837981,12,5,1,1,19.0,0
4150569633,11,6,1,0,15.0,2
609838437,4,2,0,0,20.0,0
5229657139,11,1,0,0,15.0,2
2589639350,10,1,0,0,20.0,0
7656948165,10,2,0,0,18.0,2
1806563605,0,6,1,0,18.0,1
359819834,12,2,0,1,17.0,2
1908423841,4,5,1,0,10.0,1
299859815,2,1,0,0,18.0,1
923659418,13,6,1,1,18.0,1
3560625119,19,5,1,1,11.0,1
7111490680,19,2,0,1,14.0,1
5766981431,4,6,1,0,14.0,1
8609945311,10,4,0,0,10.0,0
1691260635,10,0,0,0,12.0,1
8742091504,23,0,0,0,15.0,2
1997833025,23,4,0,0,15.0,0
3588296877,8,1,0,0,15.0,2
2404804990,12,6,1,1,18.0,1
8091385479,15,1,0,0,18.0,1
7133174424,3,3,0,0,18.0,1
6110446321,1,6,1,0,15.0,1
6964586050,18,6,1,1,11.0,0
2351986014,12,4,0,1,10.0,2
352569720,0,4,0,0,14.0,0
1235280275,22,2,0,0,15.0,1
9399859705,1,6,1,0,16.0,0
7530379037,19,4,0,1,11.0,1
5952886441,11,1,0,0,17.0,0
5815833211,19,3,0,1,19.0,0
7307394687,10,2,0,0,17.0,0
6033014029,13,0,0,1,15.0,2
1409944718,14,5,1,0,15.0,1
1811382200,19,4,0,1,17.0,0
4485391413,8,3,0,0,17.0,1
4076279641,17,2,0,0,12.0,1
2965387566,11,2,0,0,17.0,1
9397774189,8,2,0,0,16.0,0
1437159967,1,4,0,0,11.0,0
8397785448,2,2,0,0,18.0,1
2778606949,13,6,1,1,11.0,0
1774096863,5,1,0,0,17.0,0
1497256618,23,2,0,0,11.0,1
734095510,21,0,0,1,11.0,1
5755859055,14,2,0,0,18.0,2
5840290569,3,0,0,0,12.0,0
8200985533,7,0,0,0,19.0,0
3255590064,4,4,0,0,14.0,1
4258404747,2,4,0,0,20.0,0
2455161115,8,0,0,0,18.0,0
4448004569,2,2,0,0,11.0,0
5951090793,19,5,1,1,18.0,1
7402491996,6,6,1,0,16.0,1
8532411923,18,1,0,1,16.0,1
7130555385,14,1,0,0,20.0,2
4338197132,7,4,0,0,14.0,0
8044366071,13,6,1,1,18.0,1
4135251774,11,2,0,0,19.0,0
6331483812,22,4,0,0,12.0,1
6705171000,20,0,0,1,14.0,0
7850128898,7,4,0,0,18.0,2
3602554049,15,4,0,0,15.0,2
1070259187,11,4,0,0,12.0,1
8412338399,18,0,0,1,19.0,1
1478022303,15,6,1,0,15.0,0
2376108199,16,0,0,0,16.0,1
5243035202,0,6,1,0,10.0,0
3687581971,13,5,1,1,20.0,2
7008586055,5,2,0,0,10.0,2
5142069216,15,6,1,0,18.0,0
4152441944,10,1,0,0,11.0,0
5601670348,0,1,0,0,11.0,2
605105099,8,5,1,0,17.0,0
4054936140,8,4,0,0,18.0,1
8741892156,4,2,0,0,12.0,1
9143640828,13,1,0,1,13.0,1
6900876252,16,2,0,0,13.0,0
9801174908,11,5,1,0,10.0,1
551343632,19,1,0,1,13.0,1
7961173808,0,0,0,0,12.0,0
328909145,16,3,0,0,11.0,1
5551173528,6,6,1,0,12.0,1
4461788759,20,1,0,1,12.0,1
7256212429,22,5,1,0,15.0,0
9104077642,13,3,0,1,17.0,0
2914056235,12,1,0,1,20.0,0
9127632807,13,1,0,1,16.0,1
6070154414,19,0,0,1,19.0,1
2318969828,20,6,1,1,20.0,0
3813047994,0,2,0,0,11.0,0
1416102774,16,5,1,0,18.0,2
8086834412,19,4,0,1,13.0,0
6193826826,1,5,1,0,11.0,1
8444509148,22,2,0,0,10.0,1
42332130,17,3,0,0,10.0,0
6009342120,8,5,1,0,16.0,1
4818516411,12,0,0,1,20.0,0
1039229544,17,5,1,0,14.0,0
1515943657,18,3,0,1,10.0,1
9183547951,19,5,1,1,20.0,0
8478376092,2,0,0,0,11.0,1
1454073903,8,5,1,0,12.0,1
2855402284,0,6,1,0,14.0,1
7245730533,7,6,1,0,16.0,2
2272892659,10,2,0,0,10.0,2
9087377568,2,2,0,0,18.0,0
8443685057,1,6,1,0,12.0,1
1590988730,22,3,0,0,11.0,0
7357811417,9,6,1,0,12.0,0
394951937,18,2,0,1,11.0,1
3967445448,14,3,0,0,17.0,0
6101022928,18,2,0,1,19.0,1
6322372546,9,0,0,0,17.0,2
9778782281,21,4,0,1,11.0,2
3867563962,17,6,1,0,10.0,0
9277710098,16,6,1,0,16.0,1
7669322773,13,1,0,1,15.0,1
3917427529,11,5,1,0,20.0,2
1934158144,17,1,0,0,15.0,1
3157338466,15,3,0,0,18.0,0
9640662474,14,1,0,0,19.0,2
2356272189,2,1,0,0,13.0,1
1380510406,20,5,1,1,16.0,1
8008377895,13,0,0,1,12.0,2
3680678403,0,4,0,0,20.0,1
2847236502,10,1,0,0,20.0,1
5212392063,2,0,0,0,16.0,0
3804024939,21,5,1,1,18.0,1
5395870775,19,3,0,1,18.0,0
511736499,21,3,0,1,13.0,1
2895886759,22,3,0,0,15.0,1
6638513435,13,6,1,1,18.0,0
4168083780,4,6,1,0,19.0,1
2501516144,9,1,0,0,11.0,0
7141387557,21,4,0,1,20.0,0
2747350024,13,4,0,1,19.0,0
9503407492,22,4,0,0,16.0,2
4845607487,18,4,0,1,11.0,1
2051769691,16,2,0,0,14.0,0
1092990139,1,1,0,0,16.0,1
5527612319,23,2,0,0,15.0,0
8852367079,5,6,1,0,14.0,1
1666202264,10,6,1,0,18.0,1
8606484804,15,1,0,0,14.0,1
8905341102,4,3,0,0,19.0,0
5418735913,11,3,0,0,16.0,0
970377475,22,1,0,0,12.0,0
7320527109,12,3,0,1,13.0,0
5120698,12,4,0,1,15.0,2
3812396179,8,5,1,0,14.0,0
8178951021,18,6,1,1,13.0,2
2479115586,18,3,0,1,11.0,1
6239453389,1,6,1,0,15.0,0
3136508414,15,0,0,0,11.0,0
5521273487,15,5,1,0,13.0,2
5445047872,5,1,0,0,15.0,1
3678525130,18,0,0,1,15.0,1
9328056960,6,2,0,0,15.0,1
2109203997,18,5,1,1,15.0,2
556665455,1,3,0,0,18.0,2
6573705785,12,3,0,1,15.0,0
2609502403,18,3,0,1,12.0,1
1463293930,14,3,0,0,15.0,0
8132887999,16,6,1,0,17.0,2
7178789018,8,1,0,0,16.0,0
2295700159,12,0,0,1,16.0,1
9277089038,20,5,1,1,19.0,1
145057465,8,5,1,0,18.0,0
9452353274,19,3,0,1,10.0,1
5434328922,7,3,0,0,11.0,0
3327051807,16,0,0,0,20.0,1
1461604569,2,4,0,0,15.0,0
606518084,16,5,1,0,20.0,0
7637625389,20,6,1,1,12.0,1
7311621328,2,6,1,0,14.0,2
8790217194,1,0,0,0,10.0,2
1772445313,0,4,0,0,11.0,1
159394992,6,1,0,0,15.0,1
7992910755,9,2,0,0,15.0,2
1786931285,4,3,0,0,12.0,0
2225520858,13,2,0,1,17.0,0
5635738740,14,3,0,0,16.0,0
2230824358,15,2,0,0,18.0,2
9217211301,10,3,0,0,10.0,0
4501870609,8,2,0,0,18.0,1
838401679,7,6,1,0,16.0,2
9587315528,0,2,0,0,16.0,1
3122936945,23,5,1,0,19.0,0
6093390755,13,4,0,1,12.0,1
2032956677,21,3,0,1,15.0,1
1488430001,15,6,1,0,17.0,2
615391848,21,3,0,1,15.0,0
8686093533,5,1,0,0,15.0,0
7038758506,6,0,0,0,16.0,1
2385966456,7,1,0,0,15.0,1
259622674,0,4,0,0,12.0,1
2580381935,9,6,1,0,11.0,0
5035471587,2,4,0,0,11.0,1
9421270813,6,0,0,0,15.0,1
1831516625,20,4,0,1,12.0,1
1918841793,21,0,0,1,15.0,0
1757159071,9,2,0,0,19.0,1
7589464630,13,4,0,1,17.0,1
1577085460,9,4,0,0,18.0,0
2279018877,14,0,0,0,19.0,2
7431412128,4,0,0,0,14.0,1
8781520615,8,6,1,0,12.0,1
1276192882,7,0,0,0,12.0,0
4065794921,11,3,0,0,11.0,2
1690800946,14,2,0,0,17.0,1
877883470,13,2,0,1,20.0,1
7322044533,23,4,0,0,16.0,2
5243163885,13,4,0,1,10.0,1
4360255357,7,6,1,0,16.0,1
9623306038,5,4,0,0,12.0,0
6282385286,6,5,1,0,17.0,1
1001900652,20,6,1,1,11.0,2
5161988291,0,0,0,0,16.0,0
3597752998,13,2,0,1,15.0,0
9074325310,16,1,0,0,16.0,1
8875965392,19,0,0,1,14.0,1
971081962,1,3,0,0,16.0,0
1948332638,17,5,1,0,20.0,1
1785558780,16,4,0,0,14.0,0
7590462053,16,2,0,0,20.0,1
2135743860,8,4,0,0,10.0,1
9851365751,16,1,0,0,17.0,0
9243090480,19,1,0,1,18.0,2
7168596454,2,2,0,0,11.0,1
2483565595,6,4,0,0,14.0,1
2484470052,19,1,0,1,19.0,1
7702588270,20,4,0,1,19.0,0
5992338333,23,0,0,0,19.0,0
9196796718,21,3,0,1,14.0,1
3291765954,7,2,0,0,17.0,1
652616858,11,0,0,0,17.0,1
2613508245,16,3,0,0,18.0,0
8169361928,15,2,0,0,12.0,1
9395982132,12,2,0,1,12.0,1
1914701538,14,6,1,0,19.0,1
6236279358,5,6,1,0,12.0,2
2288561509,19,0,0,1,20.0,1
2010415757,8,3,0,0,13.0,0
7164827734,8,3,0,0,17.0,0
7971819985,2,0,0,0,10.0,0
8234021674,10,0,0,0,19.0,1
4274404843,1,0,0,0,18.0,1
7353519273,12,4,0,1,17.0,1
8539612501,13,4,0,1,11.0,2
5894327065,13,4,0,1,12.0,1
77053363,19,3,0,1,19.0,0
4467084478,12,6,1,1,10.0,2
3514036230,3,1,0,0,14.0,1
4720421794,6,1,0,0,19.0,2
3202903413,18,4,0,1,17.0,1
6938082428,20,4,0,1,14.0,1
9202941711,14,6,1,0,13.0,1
8963522960,2,3,0,0,17.0,1
9266835891,2,3,0,0,14.0,0
5265722064,2,6,1,0,16.0,0
5514326011,16,6,1,0,16.0,1
9578652103,5,2,0,0,13.0,0
3559061334,13,4,0,1,20.0,2
637944734,9,5,1,0,13.0,1
7454643275,8,6,1,0,18.0,0
4319342350,20,1,0,1,19.0,2
7568450733,8,6,1,0,11.0,0
734744305,11,5,1,0,15.0,1
5233331050,16,0,0,0,17.0,1
8326867788,1,2,0,0,20.0,0
8368819094,2,3,0,0,14.0,0
8700151605,9,4,0,0,17.0,2
6269179048,15,5,1,0,14.0,0
1265254177,14,6,1,0,14.0,0
9858963919,6,6,1,0,13.0,2
7279564594,9,4,0,0,13.0,0
6983253839,20,2,0,1,17.0,1
9479808024,5,0,0,0,16.0,0
3583522679,11,2,0,0,19.0,1
1923226423,7,6,1,0,17.0,1
664198080,6,5,1,0,10.0,0
4224700084,23,2,0,0,14.0,0
969621016,19,1,0,1,11.0,1
8178275820,9,4,0,0,10.0,2
4949766982,0,2,0,0,15.0,1
5258344385,17,5,1,0,20.0,1
8101930640,5,0,0,0,16.0,1
6703316563,17,3,0,0,13.0,2
7680297690,6,0,0,0,15.0,1
7256340388,7,6,1,0,10.0,2
2538269668,8,4,0,0,15.0,0
7506762237,1,5,1,0,12.0,2
6585436114,21,2,0,1,18.0,1
9852996866,12,2,0,1,18.0,0
1991135167,20,1,0,1,12.0,1
7765110772,21,5,1,1,16.0,0
3520718052,23,4,0,0,10.0,0
5388573375,12,3,0,1,11.0,0
8977771682,18,5,1,1,16.0,0
3596900942,9,4,0,0,17.0,2
155295996,2,5,1,0,18.0,1
1945536198,14,2,0,0,14.0,1
2550246555,14,3,0,0,12.0,1
4287631655,4,2,0,0,19.0,2
2033683703,17,2,0,0,16.0,2
9453583714,4,4,0,0,14.0,0
852886125,1,4,0,0,20.0,0
5705899665,19,0,0,1,15.0,0
5706043483,18,2,0,1,15.0,1
5190422833,11,0,0,0,15.0,0
7178188501,13,3,0,1,18.0,0
2864819888,19,4,0,1,11.0,1
7107216633,5,3,0,0,10.0,1
1685382357,18,3,0,1,19.0,2
7562902958,22,3,0,0,18.0,1
2819953077,8,2,0,0,16.0,2
8453462258,11,5,1,0,13.0,0
4605056279,16,5,1,0,10.0,1
5998035939,1,3,0,0,12.0,0
2311501690,4,1,0,0,10.0,0
356495722,0,6,1,0,14.0,0
2695448838,23,5,1,0,14.0,1
6986791144,14,4,0,0,10.0,2
8619571588,5,2,0,0,14.0,0
4088553674,10,4,0,0,17.0,2
8177907004,21,0,0,1,17.0,2
8533749006,16,2,0,0,14.0,1
8694014791,5,6,1,0,18.0,1
6311012195,14,3,0,0,17.0,0
1312767771,5,1,0,0,18.0,1
214919848,7,5,1,0,17.0,1
5521682945,7,2,0,0,20.0,1
5305770811,7,3,0,0,10.0,1
5842420654,11,0,0,0,18.0,1
4566893863,9,5,1,0,11.0,0
1523729855,4,1,0,0,13.0,0
2899786983,12,1,0,1,11.0,1
9202528884,13,0,0,1,12.0,2
4338327693,2,6,1,0,15.0,2
6295686357,7,2,0,0,11.0,0
6396194687,20,5,1,1,20.0,1
5662786245,0,4,0,0,13.0,1
4868150114,3,0,0,0,16.0,2
502764834,18,4,0,1,13.0,1
5056125341,1,1,0,0,19.0,2
6388618916,22,4,0,0,10.0,1
3508668494,1,3,0,0,10.0,0
5289436093,13,3,0,1,17.0,2
7596333614,5,3,0,0,10.0,1
6284076508,22,4,0,0,11.0,1
340050407,13,1,0,1,18.0,0
5927472701,16,4,0,0,10.0,0
9216536492,3,4,0,0,11.0,1
3742662928,6,5,1,0,11.0,0
4797768073,3,3,0,0,16.0,2
6767935470,1,2,0,0,19.0,1
1963703928,0,5,1,0,20.0,0
552470423,2,1,0,0,13.0,0
739434870,23,1,0,0,17.0,1
7930373606,22,2,0,0,12.0,1
5374978054,14,0,0,0,13.0,1
4361797433,7,5,1,0,14.0,1
2002067527,23,0,0,0,10.0,1
4228110436,19,6,1,1,11.0,2
1251118825,0,3,0,0,10.0,2
7165265639,19,6,1,1,12.0,0
1255323701,11,2,0,0,11.0,0
807934194,1,5,1,0,17.0,1
7968718292,20,0,0,1,16.0,1
2620531979,12,5,1,1,13.0,1
6943430459,17,5,1,0,11.0,1
5607355353,9,4,0,0,12.0,2
6696352636,15,6,1,0,11.0,2
9325920156,10,5,1,0,10.0,1
2286477025,22,4,0,0,13.0,1
6704773223,9,0,0,0,20.0,2
1435353007,9,4,0,0,19.0,1
8080970647,17,5,1,0,11.0,1
5881633926,18,4,0,1,17.0,1
4435459085,14,5,1,0,17.0,0
6172529406,2,1,0,0,18.0,2
9127879048,7,1,0,0,10.0,1
3806545110,11,5,1,0,12.0,1
6919395718,21,4,0,1,13.0,0
5277462976,15,5,1,0,19.0,1
3606274277,10,1,0,0,10.0,0
2065203676,9,0,0,0,15.0,1
4042066387,4,2,0,0,13.0,1
3604982656,17,3,0,0,19.0,1
1149676745,20,4,0,1,15.0,0
3895011687,19,5,1,1,18.0,1
772505056,1,3,0,0,13.0,0
5574765914,23,4,0,0,15.0,0
8812616740,21,0,0,1,12.0,1
1486655525,13,6,1,1,12.0,1
8423025639,13,3,0,1,11.0,2
9020705185,19,4,0,1,11.0,1
7719808698,11,4,0,0,16.0,1
3414036630,3,4,0,0,13.0,0
4157869967,14,4,0,0,20.0,1
4873887251,0,2,0,0,15.0,1
8031946454,20,1,0,1,12.0,0
8168056170,4,0,0,0,10.0,2
